,Best,,,
Image,Match Scores,AWAY/HOME,Inliers,Outliers,Ratio,Correct
,0.559271,AWAY,34,197,,
,0.528155,AWAY,30,211,,
,0.519822,HOME,27,171,,
,0.518673,HOME,29,168,,
#24,0.68913,AWAY,71,185,7/1,CORRECT
,0.667896,AWAY,73,170,,
,0.6582,AWAY,57,189,,
,0.631622,AWAY,25,173,,
,0.623554,AWAY,96,156,,
,0.590643,AWAY,66,159,,
,0.558553,HOME,42,152,,
,0.509562,AWAY,51,169,,
#25,0.660297,AWAY,90,179,6/2,CORRECT
,0.648994,AWAY,99,158,,
,0.5959,AWAY,67,164,,
,0.585856,AWAY,49,175,,
,0.57159,HOME,14,157,,
,0.563225,AWAY,46,180,,
,0.559581,AWAY,11,162,,
,0.551967,HOME,28,162,,
#26,0.706872,AWAY,72,201,5/3,CORRECT
,0.693305,AWAY,46,173,,
,0.605289,AWAY,17,203,,
,0.584767,HOME,16,174,,
,0.57768,AWAY,24,209,,
,0.574467,HOME,15,165,,
,0.574058,AWAY,22,179,,
,0.554767,HOME,36,136,,
#27,0.563355,HOME,20,202,6/2,CORRECT
,0.559525,AWAY,43,154,,
,0.551513,HOME,21,182,,
,0.544042,AWAY,67,200,,
,0.535987,AWAY,71,166,,
,0.520921,AWAY,17,218,,
,0.465359,AWAY,60,156,,
,0.459849,AWAY,15,204,,
#28,0.73406,AWAY,95,202,7/1,CORRECT
,0.69534,AWAY,53,221,,
,0.683821,AWAY,38,213,,
,0.632657,AWAY,66,164,,
,0.627599,AWAY,37,176,,
,0.595609,HOME,24,174,,
,0.589951,AWAY,99,138,,
,0.585373,AWAY,25,206,,
#29,0.747936,AWAY,104,167,7/1,CORRECT
,0.725528,AWAY,107,200,,
,0.721735,AWAY,21,233,,
,0.659506,AWAY,45,232,,
,0.659279,AWAY,57,210,,
,0.656858,AWAY,35,200,,
,0.6482,AWAY,71,175,,
,0.621187,HOME,13,189,,
#30,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
,-,-,-,-,,
#31,0.711375,AWAY,84,218,7/1,CORRECT
,0.688454,AWAY,95,178,,
,0.634542,HOME,34,188,,
,0.630942,AWAY,22,235,,
,0.6257,AWAY,12,204,,
,0.620419,AWAY,89,137,,
,0.606259,AWAY,34,224,,
,0.560898,AWAY,47,189,,
#32,0.665166,AWAY,78,156,7/1,CORRECT
,0.606576,AWAY,61,186,,
,0.579234,HOME,21,154,,
,0.565175,AWAY,20,160,,
,0.551186,AWAY,59,168,,
,0.547084,AWAY,65,143,,
,0.520061,AWAY,17,178,,
,0.485652,AWAY,43,160,,
#33,0.700163,AWAY,122,170,7/1,CORRECT
,0.653904,AWAY,92,181,,
,0.604863,AWAY,77,188,,
,0.553673,AWAY,61,188,,
,0.548064,AWAY,24,166,,
,0.543091,HOME,25,158,,
,0.530802,AWAY,50,188,,
,0.522044,AWAY,48,174,,
